Adresse;Art;Datum;Preis;Preis2;price
"Avia

St. Gallerstr. 124, 7320 Sargans";Bleifrei;16.11.2020;1,430 sFr;1,930 sFr;1
"Shell

Hauptstr. 43, 5502 Hunzenschwil";Bleifrei;23.11.2020;1,430 sFr;1,930 sFr;1
"Horgengarage Wüest

Seestr. 16, 8810 Horgen";Bleifrei;18.12.2020;1,429 sFr;1,879 sFr;1
"Avia

Jonenstr. 32, 8913 Ottenbach";Bleifrei;14.10.2020;1,429 sFr;1,929 sFr;1
"Socar ERMATINGEN 

Hauptstr. 176  , 8272 Ermatingen";Bleifrei;30.10.2016;1,425 sFr;;1
"Avia

Schiffländestr. 3, 5000 Aarau";Bleifrei;14.11.2020;1,420 sFr;1,920 sFr;1
"BP

Lörracherstr. 153, 4125 Riehen";Bleifrei;23.12.2020;1,420 sFr;1,870 sFr;1
"BP

Hauptstr. 26, 5726 Unterkulm";Bleifrei;23.12.2020;1,420 sFr;1,870 sFr;1
"Coop Pronto

Landstr. 151, 5430 Wettingen";Bleifrei;29.12.2020;1,420 sFr;1,870 sFr;1
"Ruedi Rüssel

Auerstr. 34, 9442 Berneck";Bleifrei;30.11.2008;1,420 sFr;;1
"Celsa

Schwarzseestr. 7, 1735 Giffers";Bleifrei;22.05.2017;1,420 sFr;;1
"Migrol

Im Schnegg 1, 8810 Horgen";Bleifrei;29.12.2020;1,420 sFr;1,870 sFr;1
"Agrola

, 6016 Hellbühl";Bleifrei;14.08.2015;1,420 sFr;;1
"Avia

Seestr. 340, 8810 Horgen";Bleifrei;18.12.2020;1,420 sFr;1,870 sFr;1
"Hess AG

Turnierstrasse, 3124 Belpberg";Bleifrei;12.12.2020;1,420 sFr;1,900 sFr;1
"G Rippepi

Via Francesco Borromini 3, 6850 Mendrisio";Bleifrei;10.04.2017;1,420 sFr;;1
"Minor prezzo

Via Laveggio 12, 6850 Mendrisio";Bleifrei;10.04.2017;1,420 sFr;;1
"the Brooklyn AG

Seestrasse 18, 8810 Horgen";Bleifrei;29.12.2020;1,420 sFr;1,870 sFr;1
"Tancadi-Tankstelle Pino

Stradun, 7162 Tavanasa";Bleifrei;02.02.2021;1,420 sFr;1,790 sFr;1
"Migrol

Waldibrücke , 6032 Emmen";Bleifrei;09.10.2016;1,420 sFr;;1
"Avia

Buchserstr. 66, 5000 Aarau";Bleifrei;14.11.2020;1,420 sFr;1,920 sFr;1
"Avia

Bernerstr. Nord 182, 8064 Zürich";Bleifrei;31.07.2020;1,420 sFr;1,920 sFr;1
"Ruedi Rüssel

Schwamendingenstr. 106 , 8000 Zürich";Bleifrei;05.08.2017;1,420 sFr;1,960 sFr;1
"Bösch Garage

Hauptstr. 11, 8274 Tägerwilen";Bleifrei;30.10.2016;1,420 sFr;;1
"Ruedi Rüssel

Gysulastr. 1, 5000 Aarau";Bleifrei;15.12.2020;1,420 sFr;1,900 sFr;1
"Migrol

Zugerstr. 5, 6030 Ebikon";Bleifrei;13.08.2020;1,420 sFr;1,920 sFr;1
"Migrol

Luzernstr. 17, 6030 Ebikon";Bleifrei;13.08.2020;1,420 sFr;1,920 sFr;1
"Avia

Baselstr. 22, 4147 Aesch BL";Bleifrei;14.06.2017;1,415 sFr;;1
"Th. Willy AG

Zürcherstr. 145, 8952 Schlieren";Bleifrei;27.12.2020;1,410 sFr;1,860 sFr;1
"BP Tankstelle

Badenerstr. 16, 5442 Fislisbach";Bleifrei;11.12.2020;1,410 sFr;1,890 sFr;1
"Fredis Tankstelle

Oltnerstr. 6, 5014 Gretzenbach";Bleifrei;02.01.2020;1,410 sFr;1,780 sFr;1
"Migrol

MMM Rheinpark , 9430 St. Margrethen SG";Bleifrei;14.09.2020;1,410 sFr;1,910 sFr;1
"Post Tankstelle

Alleestr. 26, 3703 Aeschi b. Spiez";Bleifrei;18.09.2020;1,410 sFr;1,910 sFr;1
"Avia

Via Cantonale 51, 6983 Magliaso";Bleifrei;11.04.2017;1,410 sFr;;1
"Migrol

Schmidtli, 6314 Neuägeri";Bleifrei;22.10.2020;1,410 sFr;1,910 sFr;1
"Garage S.Kocher

Grand-Rue 3, 2616 Renan BE";Bleifrei;23.03.2017;1,410 sFr;;1
"Tamoil

Hauptstr. 44, 6315 Oberägeri";Bleifrei;12.12.2020;1,410 sFr;1,890 sFr;1
"Aviamat Tankstelle

Oberstr. 137, 9000 St. Gallen";Bleifrei;05.08.2020;1,410 sFr;1,910 sFr;1
"Coop

St. Gallerstr. 52, 9400 Rorschach";Bleifrei;05.08.2020;1,410 sFr;1,910 sFr;1
"Garage Hotz Sa

Rue de la Promenade 10, 2105 Travers";Bleifrei;17.10.2016;1,410 sFr;;1
"Taxon

Schmiedengasse 1, 4710 Balsthal";Bleifrei;27.11.2020;1,410 sFr;1,890 sFr;1
"Coop

Bernstrasse 31, 3506 Grosshöchstetten";Bleifrei;29.12.2020;1,410 sFr;1,860 sFr;1
"Avia

Hüttnerstr. 25, 8824 Schönenberg ZH";Bleifrei;15.10.2020;1,410 sFr;1,910 sFr;1
"Agrola

Hüttnerstr. 10, 8824 Schönenberg ZH";Bleifrei;15.10.2020;1,410 sFr;1,910 sFr;1
"Tank im Rank - Ihre persönliche Tankstelle im Dorf!

Zürcherstr. 14, 8917 Oberlunkhofen";Bleifrei;14.10.2020;1,410 sFr;1,910 sFr;1
"Oil!

Tschachenstr. 1, 8752 Näfels";Bleifrei;22.11.2020;1,410 sFr;1,910 sFr;1
"Midland

Brühlstr. 328, 5732 Zetzwil";Bleifrei;17.02.2021;1,410 sFr;1,720 sFr;1
"Josef Gut AG

Rieden 1, 6370 Stans";Bleifrei;27.12.2020;1,410 sFr;1,860 sFr;1
"Shell

Bahnhofstrasse, 6020 Emmenbrücke";Bleifrei;20.05.2016;1,410 sFr;;1
"Gioia

Via Cantonale 32, 6805 Mezzovico";Bleifrei;29.07.2015;1,410 sFr;;1
"Coop

Badenerstrasse 812, 8048 Zürich";Bleifrei;02.12.2020;1,410 sFr;1,890 sFr;1
"Agrola

Burgstr. 11, 8880 Walenstadt";Bleifrei;14.12.2020;1,410 sFr;1,890 sFr;1
"Migrol

Amriswilerstr. 52, 9314 Steinebrunn";Bleifrei;12.02.2020;1,410 sFr;1,800 sFr;1
"BP

Zentralstr. 54 , 5610 Wohlen AG";Bleifrei;26.11.2020;1,410 sFr;1,890 sFr;1
"Migrol

Lochackerstrasse 7, 8423 Embrach-Embraport";Bleifrei;21.12.2020;1,410 sFr;1,860 sFr;1
"Coop Pronto

Maihofstr. 101, 6006 Luzern";Bleifrei;29.12.2020;1,410 sFr;1,860 sFr;1
"Avia

Industriestrasse 2, 8307 Effretikon";Bleifrei;08.08.2016;1,405 sFr;;1
"Scheiweiler Garagen AG

Allenwindenstrasse 10, 8832 Wollerau";Bleifrei;15.10.2020;1,400 sFr;1,900 sFr;1
"Migrol Auto Servizio

MMM Centro, 6592 S. Antonino";Bleifrei;09.10.2016;1,400 sFr;;1
"Hergol

Stanserstrasse 11, 6362 Stansstad";Bleifrei;27.12.2020;1,400 sFr;1,850 sFr;1
"Agrola 

St. Gallerstr. 6, 8352 Elsau";Bleifrei;29.04.2016;1,400 sFr;;1
"Autocenter Mels AG

Zeughausstrasse 18, 8887 Mels";Bleifrei;16.11.2020;1,400 sFr;1,900 sFr;1
"Avia

Moosstr. 6, 9030 Abtwil SG";Bleifrei;26.12.2020;1,400 sFr;1,850 sFr;1
"Coop

Hochbergerstrasse 60, 4057 Basel";Bleifrei;04.12.2020;1,400 sFr;1,880 sFr;1
"Avia

Luzernstr. 42, 4556 Aeschi SO";Bleifrei;25.01.2021;1,400 sFr;1,770 sFr;1
"Socar

Luzernstr. 17, 4552 Derendingen";Bleifrei;09.01.2021;1,400 sFr;1,800 sFr;1
"Socar

Riedhofstr. 57, 8408 Winterthur";Bleifrei;21.04.2016;1,400 sFr;;1
"Agrola Eglingen

Laupenstr. 2, 8638 Goldingen";Bleifrei;14.09.2020;1,400 sFr;1,900 sFr;1
"Garage Wyder

Wangen 30, 8127 Forch";Bleifrei;24.04.2016;1,400 sFr;;1
"Auto Rueger AG

Hauptstr. 5, 3860 Meiringen";Bleifrei;14.09.2020;1,400 sFr;1,900 sFr;1
"Agip

PFOLONG, 3954 Leukerbad";Bleifrei;18.08.2020;1,400 sFr;1,900 sFr;1
"BP Tankstelle Heiden

Rosentalstrasse 1, 9410 Heiden";Bleifrei;11.12.2020;1,400 sFr;1,880 sFr;1
"Freie Tankstelle

Ecke Oberalp-/Gürtelstrasse, 7000 Chur";Bleifrei;11.05.2020;1,400 sFr;1,920 sFr;1
"Eni

Luzernstr. 4, 4552 Derendingen";Bleifrei;09.01.2021;1,400 sFr;1,800 sFr;1
"NASA TS GmbH

Bederstrasse 85, 8002 Zürich";Bleifrei;27.05.2016;1,400 sFr;;1
"Tamoil

Schwarzenburgstr. 112, 3097 Liebefeld";Bleifrei;23.01.2015;1,400 sFr;;1
"Avia

A. Quiquerez 14, 2800 Delémont";Bleifrei;21.05.2020;1,400 sFr;1,920 sFr;1
Sägestrasse 36a, 3550 Langnau i. E.;Bleifrei;29.11.2015;1,400 sFr;;1
"Avia Basel

Hochbergerstr. 50, 4057 Basel";Bleifrei;23.12.2020;1,400 sFr;1,850 sFr;1
"Molkerei Biedermann AG

Schützengütlistr. 2, 9220 Bischofszell";Bleifrei;25.07.2020;1,400 sFr;1,900 sFr;1
"Eni

Via San Gottardo, 6943 Vezia";Bleifrei;23.05.2020;1,400 sFr;1,920 sFr;1
"BP Service Telli AG

Neumattstr. 9, 5000 Aarau";Bleifrei;14.12.2020;1,400 sFr;1,880 sFr;1
"Socar

Via San Gottardo, 6943 Vezia";Bleifrei;23.05.2020;1,400 sFr;1,920 sFr;1
"Socar

Hauptstr. 37, 5502 Hunzenschwil";Bleifrei;23.11.2020;1,400 sFr;1,900 sFr;1
"Lazzaroni R. & M.

Via delle Scuole 49, 6900 Lugano";Bleifrei;04.05.2016;1,399 sFr;;1
"Ruedi Rüssel

Ottenbacherstr. 1, 8909 Zwillikon";Bleifrei;22.10.2020;1,399 sFr;1,899 sFr;1
"Socar

Rikonerstr. 20, 8307 Effretikon";Bleifrei;08.08.2016;1,395 sFr;;1
"Avia

Hauptstr. 98, 9430 St. Margrethen SG";Bleifrei;16.11.2020;1,390 sFr;1,890 sFr;1
"Euro Service

Via Cantonale 42, 6983 Magliaso";Bleifrei;11.04.2017;1,390 sFr;;1
"Ruedi Rüssel

Lindenallee 15, 4710 Balsthal";Bleifrei;28.01.2021;1,390 sFr;1,760 sFr;1
"Auto Brunner

Steinenbergweg 580a, 4717 Mümliswil";Bleifrei;14.06.2017;1,390 sFr;;1
"Agrola

Eisenbahnstrasse, 8730 Uznach";Bleifrei;14.11.2020;1,390 sFr;1,890 sFr;1
"Avia

Konstanzerstr. 86, 9500 Wil SG";Bleifrei;26.12.2020;1,390 sFr;1,840 sFr;1
"Kolly

Aergerastr. 45, 1735 Giffers";Bleifrei;22.05.2017;1,390 sFr;;1
"Migrol

Kradolfstr. 54, 8583 Sulgen";Bleifrei;18.06.2020;1,390 sFr;1,890 sFr;1
"Avia

Dammstr. 7a, 9240 Uzwil";Bleifrei;26.12.2020;1,390 sFr;1,840 sFr;1
"Midland

Landstr. 73, 5412 Gebenstorf";Bleifrei;12.12.2015;1,390 sFr;;1
"Migrol

Zürcherstr. 35, 4052 Basel";Bleifrei;01.12.2020;1,390 sFr;1,870 sFr;1
"Avia

Zollplatz 7, 5322 Koblenz";Bleifrei;17.03.2020;1,390 sFr;1,860 sFr;1
"Migrol

Wasgenring 57, 4000 Basel";Bleifrei;23.12.2020;1,390 sFr;1,840 sFr;1
"Emil Frey AG

Badenerstr. 600, 8000 Zürich";Bleifrei;14.12.2020;1,390 sFr;1,870 sFr;1
"AGROLA Top-Shop Gossau

Tannenbergstr. 7, 8625 Gossau ZH";Bleifrei;07.05.2020;1,390 sFr;1,910 sFr;1
"Garage Stifter

Rikonerstr. 26, 8307 Effretikon";Bleifrei;08.08.2016;1,390 sFr;;1
"Migrol

Vogelsangstr. 1 , 8307 Effretikon";Bleifrei;23.07.2020;1,390 sFr;1,890 sFr;1
"Coop Pronto

Mellingerstr. 160, 5400 Baden";Bleifrei;29.12.2020;1,390 sFr;1,840 sFr;1
"Socar

Haafpüntstr. 5, 8233 Bargen SH";Bleifrei;01.05.2020;1,390 sFr;1,910 sFr;1
"Tankstelle Bigler

Langnaustrasse 36, 3532 Zäziwil";Bleifrei;23.12.2020;1,390 sFr;1,840 sFr;1
"Denoth Handels AG

Talstrasse 22, 7562 Samnaun-Compatsch";Bleifrei;15.12.2022;1,390 sFr;1,390 sFr;1
"LANDI Wetzikon-Seegräben

Motorenstr. 87, 8620 Wetzikon ZH";Bleifrei;17.12.2020;1,390 sFr;1,840 sFr;1
"Avia

Hauptstr. 20, 9214 Kradolf-Schönenb.";Bleifrei;18.06.2020;1,390 sFr;1,890 sFr;1
"Agrola 

Hauptstr. 3, 9214 Kradolf-Schönenb.";Bleifrei;18.06.2020;1,390 sFr;1,890 sFr;1
"Avia

Oberdorfstr. 8, 8640 Hinwil";Bleifrei;17.12.2020;1,385 sFr;1,835 sFr;1
"Heis.ch

Via Principale, 7741 S. Carlo GR";Bleifrei;01.11.2020;1,380 sFr;1,880 sFr;1
"Tamoil

Spiezstr. 10, 3645 Gwatt (Thun)";Bleifrei;06.10.2016;1,380 sFr;;1
"Garage Rossi

Sant'Antonio, 7742 Poschiavo";Bleifrei;01.11.2020;1,380 sFr;1,880 sFr;1
"Garage Bernina 

Via du Curtin , 7742 Poschiavo";Bleifrei;01.11.2020;1,380 sFr;1,880 sFr;1
"D. Formolli

Via di Curtin, 7742 Poschiavo";Bleifrei;01.11.2020;1,380 sFr;1,880 sFr;1
"Rozoil

Rotzloch 10, 6362 Stansstad";Bleifrei;27.12.2020;1,380 sFr;1,830 sFr;1
"ZST AG

Mellingerstr. 216, 5405 Dättwil";Bleifrei;20.11.2020;1,380 sFr;1,880 sFr;1
"Tamoil

Mellingerstr. 208, 5405 Baden";Bleifrei;20.11.2020;1,380 sFr;1,880 sFr;1
"Garage Wirz

Netzenstrasse 8, 4450 Sissach";Bleifrei;29.12.2020;1,380 sFr;1,830 sFr;1
"Shell Turtmann

Kantonsstrasse, 3946 Turtmann";Bleifrei;18.08.2020;1,380 sFr;1,880 sFr;1
"Coop Pronto

Standstr. 42, 3000 Bern";Bleifrei;24.10.2020;1,380 sFr;1,880 sFr;1
"Ruedi Rüssel

Winterthurerstr. 451, 8000 Zürich";Bleifrei;28.04.2020;1,380 sFr;1,900 sFr;1
"BP

Hofwiesenstr. 268, 8000 Zürich";Bleifrei;11.12.2020;1,380 sFr;1,860 sFr;1
"Häusermann

Vogelsangstr. 15, 8307 Effretikon";Bleifrei;08.08.2016;1,380 sFr;;1
"Agip

Kerzersstr. 28, 3225 Müntschemier";Bleifrei;01.05.2017;1,380 sFr;;1
"Coop

Talgut-Zentrum 19, 3063 Ittigen";Bleifrei;24.10.2020;1,380 sFr;1,880 sFr;1
"Avia

Tera Bianca, 6535 Roveredo GR";Bleifrei;21.10.2016;1,380 sFr;;1
"Ruedi Rüssel

Schwarzenburgstr. 241, 3098 Köniz";Bleifrei;01.07.2016;1,380 sFr;;1
"Piccadilly

Via Cantonale, 6595 Riazzino";Bleifrei;19.10.2020;1,380 sFr;1,880 sFr;1
"BP Service Volkiland

Grabenwisstr. 1, 8604 Volketswil";Bleifrei;22.12.2020;1,380 sFr;1,830 sFr;1
"Migrol

Unterdorfstr. 5, 4244 Röschenz";Bleifrei;13.08.2020;1,370 sFr;1,870 sFr;1
"Coop

Eymattstrasse 15, 3027 Bern";Bleifrei;24.10.2020;1,370 sFr;1,870 sFr;1
"AVIA

Fellerstrasse 28, 3027 Bern";Bleifrei;05.04.2016;1,370 sFr;;1
"Shell

Fellerstrasse 33, 3027 Bern";Bleifrei;05.04.2016;1,370 sFr;;1
"BP

Via R. Leoncavallo 64, 6614 Brissago";Bleifrei;19.10.2020;1,370 sFr;1,870 sFr;1
"Piccardilly

Via R. Leoncavallo 62, 6614 Brissago";Bleifrei;19.10.2020;1,370 sFr;1,870 sFr;1
"Eni

Le Reymond 8, 2300 La Chaux-de-Fonds";Bleifrei;05.04.2016;1,370 sFr;;1
"Eni

Via R. Leoncavallo 46, 6614 Brissago";Bleifrei;19.10.2020;1,370 sFr;1,870 sFr;1
"Eni

Via Cantonale, 6622 Ronco sopra Ascona";Bleifrei;19.10.2020;1,370 sFr;1,870 sFr;1
"Avia

Zugerstr. 12, 5620 Bremgarten AG";Bleifrei;15.12.2020;1,370 sFr;1,850 sFr;1
"Eni

Zugerstr. 5, 5621 Zufikon";Bleifrei;15.10.2020;1,370 sFr;1,870 sFr;1
"Tamoil

Via Cantonale, 6595 Riazzino";Bleifrei;19.10.2020;1,370 sFr;1,870 sFr;1
"Agip

Via San Gottardo, 6596 Gordola";Bleifrei;19.10.2020;1,370 sFr;1,870 sFr;1
"Jubin

Route de Courgenay, 2900 Porrentruy";Bleifrei;21.05.2020;1,370 sFr;1,890 sFr;1
"BP

Rickenstr. 40, 8737 Gommiswald";Bleifrei;02.12.2020;1,370 sFr;1,850 sFr;1
"Migrol

Wilerstr. 7, 9602 Bazenheid";Bleifrei;23.07.2020;1,370 sFr;1,870 sFr;1
"Coop

Route de Courgenay 18, 2900 Porrentruy";Bleifrei;21.05.2020;1,370 sFr;1,890 sFr;1
"Jubin

rte Berne 13, 1530 Payerne";Bleifrei;03.12.2020;1,370 sFr;1,850 sFr;1
"Station Paupe

Rue Martin Burrus 2, 2926 Boncourt";Bleifrei;21.05.2020;1,370 sFr;1,890 sFr;1
"Station Paupe

Route de France 27, 2926 Boncourt";Bleifrei;21.05.2020;1,370 sFr;1,890 sFr;1
"Jubin

Route du Jura 9, 2926 Boncourt";Bleifrei;21.05.2020;1,370 sFr;1,890 sFr;1
"Jubin

Route du Jura 26, 2926 Boncourt";Bleifrei;21.05.2020;1,370 sFr;1,890 sFr;1
"Jubin

Route de Boncourt 6W, 2923 Courtemaîche";Bleifrei;21.05.2020;1,370 sFr;1,890 sFr;1
"ShellTony.ch / Shelltankstelle Glis 

Gliserallee 135 , 3902 Glis";Bleifrei;09.08.2020;1,370 sFr;1,870 sFr;1
"Shell

Rue Xavier Stockmar 6, 2900 Porrentruy";Bleifrei;21.05.2020;1,370 sFr;1,890 sFr;1
"Mazout

Route de Courgenay, 2952 Cornol";Bleifrei;21.05.2020;1,370 sFr;1,890 sFr;1
Sagestrasse 15, 3550 Langnau i. E.;Bleifrei;29.11.2015;1,370 sFr;;1
Bäraustrasse 16a, 3550 Langnau i. E.;Bleifrei;29.11.2015;1,370 sFr;;1
"Rothen GmbH

Bielstrasse 2, 3053 Münchenbuchsee";Bleifrei;23.03.2016;1,369 sFr;;1
"Bernhard Automobile AG

Wässerwiesenstrasse 95, 8408 Winterthur";Bleifrei;26.12.2020;1,369 sFr;1,819 sFr;1
"Avia Mächler + Zürcher

Spitalweg 4, 8853 Lachen SZ";Bleifrei;22.11.2020;1,369 sFr;1,869 sFr;1
"ECSA

Via Cantonale, 6817 Maroggia";Bleifrei;04.05.2016;1,360 sFr;;1
"Oeltrans AG

Brünigstrasse 34, 6074 Giswil";Bleifrei;19.11.2020;1,360 sFr;1,860 sFr;1
"Garage im Winkel AG

Seestr. 137, 8703 Erlenbach ZH";Bleifrei;13.11.2020;1,360 sFr;1,860 sFr;1
"Ferrari Center

Via Principale, 7743 Brusio";Bleifrei;01.11.2020;1,360 sFr;1,860 sFr;1
"heis.ch

La Pergola, 7743 Brusio";Bleifrei;01.11.2020;1,360 sFr;1,860 sFr;1
"Jaunpass-Garage Matti

Bifang 315A, 3766 Boltigen";Bleifrei;03.01.2021;1,360 sFr;1,760 sFr;1
"Garage Berger

Thunstrasse 96, 3415 Schafhausen i. E.";Bleifrei;24.12.2020;1,360 sFr;1,810 sFr;1
"Migrol

Hauptstrasse 63, 4563 Gerlafingen";Bleifrei;22.12.2020;1,360 sFr;1,810 sFr;1
"Landi Interlaken

Rugenparkstrasse, 3800 Interlaken";Bleifrei;27.07.2020;1,360 sFr;1,860 sFr;1
"BP Tankstelle Disentis Süd

Via Sursilvana, 7180 Disentis/Mustér";Bleifrei;29.12.2020;1,360 sFr;1,810 sFr;1
"esca

Via Valmara 14, 6614 Brissago";Bleifrei;19.10.2020;1,360 sFr;1,860 sFr;1
"Garage des Plantys

Plantys 2, 1955 Chamoson";Bleifrei;24.12.2015;1,360 sFr;;1
"Pit Stop

Via Valmara 5, 6614 Brissago";Bleifrei;19.10.2020;1,360 sFr;1,860 sFr;1
"Ruedi Rüssel

Hinterdorfstrasse 5, 3550 Langnau i. E.";Bleifrei;22.12.2020;1,360 sFr;1,810 sFr;1
"Benzina 24

Via R. Leoncavallo 54, 6614 Brissago";Bleifrei;19.10.2020;1,360 sFr;1,860 sFr;1
"Landi KoWy

Dorfstrasse 79, 3423 Ersigen";Bleifrei;12.10.2020;1,360 sFr;1,860 sFr;1
"Landi

Bahnhofstrasse 5, 3053 Münchenbuchsee";Bleifrei;22.12.2020;1,360 sFr;1,810 sFr;1
"Socar

Via Cantonale, 6594 Contone";Bleifrei;19.10.2020;1,360 sFr;1,860 sFr;1
"Migrol

Via Cantonale, 6594 Contone";Bleifrei;19.10.2020;1,360 sFr;1,860 sFr;1
"Eni

Via Stazione, 6594 Contone";Bleifrei;19.10.2020;1,360 sFr;1,860 sFr;1
"Coop

Via Sonvico 5, 6952 Canobbio";Bleifrei;23.05.2020;1,360 sFr;1,880 sFr;1
"Avia

Heiligkreuzstr. 53, 9000 St. Gallen";Bleifrei;14.09.2020;1,360 sFr;1,860 sFr;1
"BP

Zeughausstrasse 74, 8400 Winterthur";Bleifrei;29.12.2020;1,360 sFr;1,810 sFr;1
"BP

St. Gallerstrasse 170, 8404 Winterthur";Bleifrei;29.12.2020;1,360 sFr;1,810 sFr;1
"Shell

Route de France 16, 2926 Boncourt";Bleifrei;15.12.2020;1,360 sFr;1,840 sFr;1
"Migrol

Stüdlerstr. 1, 8913 Ottenbach";Bleifrei;14.12.2020;1,360 sFr;1,840 sFr;1
"Tamoil

Hauptstr., 3953 Varen";Bleifrei;18.08.2020;1,360 sFr;1,860 sFr;1
"BP

Grüzefeldstrasse 65, 8404 Winterthur";Bleifrei;29.12.2020;1,360 sFr;1,810 sFr;1
"Agrola Riedtwil/Seeberg

Hauptstrasse 43, 3475 Riedtwil";Bleifrei;22.12.2020;1,360 sFr;1,810 sFr;1
"Pneu Fuchs

Lachenstr. 10, 4123 Allschwil";Bleifrei;01.02.2017;1,360 sFr;;1
"Scall

Seestr. 139, 8703 Erlenbach ZH";Bleifrei;14.12.2020;1,355 sFr;1,835 sFr;1
"Midland

Bahnhofstr. 1, 8965 Berikon";Bleifrei;20.11.2020;1,355 sFr;1,855 sFr;1
"Migrol

, 5525 Fischbach-Göslikon";Bleifrei;20.11.2020;1,355 sFr;1,855 sFr;1
"Migrol

Hauptstr. 63, 8264 Eschenz";Bleifrei;21.12.2020;1,350 sFr;1,800 sFr;1
"Garage R.Koch

Brünigstrasse 16, 6074 Giswil";Bleifrei;29.12.2020;1,350 sFr;1,800 sFr;1
"Migrol Service

Centro Commerciale, 6836 Serfontana";Bleifrei;23.04.2016;1,350 sFr;;1
"Tamoil Matten Bei Interlaken

Gsteigstrasse, 3800 Matten b. Interl";Bleifrei;29.12.2020;1,350 sFr;1,800 sFr;1
"Coop

Mattenstrasse 1, 5722 Gränichen";Bleifrei;23.11.2020;1,350 sFr;1,850 sFr;1
"Acla da Fans

Samnaunerstrasse, 7560 Martina";Bleifrei;19.12.2022;1,350 sFr;1,350 sFr;1
"Garage Braun

Bleicheweg 7, 3550 Langnau i. E.";Bleifrei;22.12.2020;1,350 sFr;1,800 sFr;1
"Tamoil Ottenbach

Affolternstrasse 41, 8913 Ottenbach";Bleifrei;22.12.2020;1,350 sFr;1,800 sFr;1
"Migrol Service

Zugerstr. 53, 6340 Baar";Bleifrei;14.12.2020;1,350 sFr;1,830 sFr;1
"Socar

Talstr. 88, 7563 Samnaun Dorf";Bleifrei;13.12.2022;1,350 sFr;1,350 sFr;1
"Tamoil

Kleiner Muristalden 40 b, 3006 Bern";Bleifrei;12.12.2020;1,350 sFr;1,830 sFr;1
"Migrol

Talstr. 88, 7563 Samnaun Dorf";Bleifrei;13.12.2022;1,350 sFr;1,350 sFr;1
"Avia

Biederthalstr. 51, 4118 Rodersdorf";Bleifrei;26.02.2021;1,350 sFr;1,630 sFr;1
"Coop Pronto

Menznauerstr. 29 , 6110 Wolhusen";Bleifrei;15.11.2020;1,350 sFr;1,850 sFr;1
"Agrola

Amdenerstr. 11, 8872 Weesen";Bleifrei;18.06.2020;1,350 sFr;1,850 sFr;1
"Agrola

Dorfstr. 30, 8873 Amden";Bleifrei;18.06.2020;1,350 sFr;1,850 sFr;1
"Tamoil

Wülflingerstrasse 405, 8408 Winterthur";Bleifrei;29.12.2020;1,350 sFr;1,800 sFr;1
"Avia

Ohrbühlstrasse 37, 8409 Winterthur";Bleifrei;26.12.2020;1,350 sFr;1,800 sFr;1
"BP Bergboden

Bergsboden, 8882 Unterterzen";Bleifrei;11.12.2020;1,350 sFr;1,830 sFr;1
"Garage Carrosserie Fux

Talstr., 3924 St. Niklaus VS";Bleifrei;20.08.2020;1,350 sFr;1,850 sFr;1
"AVIAMAT-Tankstelle

Bahnhofstrasse 26, 6110 Wolhusen";Bleifrei;26.12.2020;1,350 sFr;1,800 sFr;1
"Migrol

Zürcherstr. 3, 5210 Windisch";Bleifrei;18.12.2020;1,350 sFr;1,800 sFr;1
"Ruedi Rüssel

Spittelweg 2, 5034 Suhr";Bleifrei;02.12.2020;1,350 sFr;1,830 sFr;1
"Agip

Via Locarno, 6514 Sementina";Bleifrei;19.10.2020;1,350 sFr;1,850 sFr;1
"Coop Pronto

Ringstr. 15, 6010 Kriens";Bleifrei;17.12.2020;1,350 sFr;1,800 sFr;1
"Garage Engehof Werner GmbH

Schaffhauserstrasse 227, 8222 Beringen";Bleifrei;21.12.2020;1,350 sFr;1,800 sFr;1
"Migrol Service Herblingen 

Stüdliackerstrasse 4 , 8207 Schaffhausen";Bleifrei;21.12.2020;1,350 sFr;1,800 sFr;1
"Ruedi Rüssel

Ringstr. 3, 5034 Suhr";Bleifrei;27.11.2020;1,350 sFr;1,830 sFr;1
"Gnossi

Bahnhofstr. 73b, 5454 Bellikon";Bleifrei;20.11.2020;1,350 sFr;1,850 sFr;1
"Nebiker AG

Hauptstr. 1, 4450 Sissach";Bleifrei;29.12.2020;1,340 sFr;1,790 sFr;1
"Coop

Favrestrasse 6, 9000 St. Gallen";Bleifrei;24.12.2020;1,340 sFr;1,790 sFr;1
"Avia

Hauptstr. 52, 8489 Wildberg";Bleifrei;22.04.2020;1,340 sFr;1,860 sFr;1
"Station Migrol

Rue Baptiste-Savoy 16, 2610 St-Imier";Bleifrei;01.01.2016;1,340 sFr;;1
Kreuzstrasse 11, 6056 Kägiswil;Bleifrei;22.09.2020;1,340 sFr;1,840 sFr;1
"Avia

Hauptstr. 502, 4813 Uerkheim";Bleifrei;28.05.2020;1,340 sFr;1,860 sFr;1
"Avia

Gäustr. 140, 4703 Kestenholz";Bleifrei;31.01.2021;1,340 sFr;1,710 sFr;1
"Tamoil

Hinterdorfstrasse 22, 3550 Langnau i. E.";Bleifrei;05.04.2016;1,340 sFr;;1
"Coop Pronto

Fürstenlandstr. 17 , 9000 St. Gallen";Bleifrei;12.12.2020;1,340 sFr;1,820 sFr;1
"Moser

Bernstr. 13, 3114 Wichtrach";Bleifrei;29.03.2020;1,340 sFr;1,810 sFr;1
